launch_id,date,time,rocket,mission,pad_location,location,status,wx_probability,details_url
0a9a511a-7ea1-4402-8555-e087f580a5c4,2025-01-04,01:27:00,Falcon 9 Block 5,Thuraya 4-NGS,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,95.0,
797939fd-480c-4e5a-8c0a-53b36b2695fe,2025-01-06,20:00:00,Long March 3B/E,Shijian 25,"Xichang Satellite Launch Center, People's Republic of China",China,Launch Successful,,
957f00c7-bcb4-4fe6-ac14-c35f11874104,2025-01-06,20:43:59,Falcon 9 Block 5,Starlink Group 6-71,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,,
02a67327-807e-483f-ac6c-963a3fa22a5b,2025-01-08,15:27:00,Falcon 9 Block 5,Starlink Group 12-11,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,,
f9308f6c-9576-4543-b2df-f5c0304c6a90,2025-01-10,03:53:49,Falcon 9 Block 5,NROL-153,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
b56beca9-d106-4fde-8614-906ad04bef9a,2025-01-10,19:11:20,Falcon 9 Block 5,Starlink Group 12-12,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,99.0,
f38f0321-080b-4313-843b-2b8c140b0669,2025-01-13,03:00:00,Smart Dragon 3,10 x CentiSpace-1,Sea Launch,China,Launch Successful,,
a07622a2-2b91-4050-886e-20ccd76d449a,2025-01-13,16:47:09,Falcon 9 Block 5,Starlink Group 12-4,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,,
02b28510-be7b-43c1-ab97-b3671ab6813d,2025-01-14,19:09:00,Falcon 9 Block 5,Transporter 12 (Dedicated SSO Rideshare),"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
9a30d934-fa56-4fe5-81df-7c4b24386da2,2025-01-15,06:11:39,Falcon 9 Block 5,Blue Ghost Lunar Lander Mission 1 & Hakuto-R M2 “Resilience”,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,90.0,
91bfaa47-76d6-4111-9830-d6c6c46c4dab,2025-01-16,07:03:00,New Glenn,Maiden Flight,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,40.0,
4c5e9d81-a4e8-41b0-b906-f335ef5c2d95,2025-01-17,04:07:00,Long March 2D,PRSC-EO1,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
08f64722-f81e-45be-b744-52fe91cc339a,2025-01-20,10:11:00,Ceres-1,5 satellites,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
626c9bf7-261d-4acb-9031-4d80ae271678,2025-01-21,05:24:50,Falcon 9 Block 5,Starlink Group 13-1,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,85.0,
f42de197-184e-48be-85ca-01b74e7fae5b,2025-01-21,15:45:50,Falcon 9 Block 5,Starlink Group 11-8,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
fa36ad1a-e596-4d8a-9325-ec30c1853953,2025-01-23,05:15:00,Long March 6A,G60 Polar Group 06,"Taiyuan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
00b19545-e13c-4863-a6b1-1a414a167c83,2025-01-23,15:32:00,Long March 3B/E,TJSW-14,"Xichang Satellite Launch Center, People's Republic of China",China,Launch Successful,,
0d989b81-7ddf-45a3-80d8-703f2728b8d9,2025-01-24,14:07:00,Falcon 9 Block 5,Starlink Group 11-6,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
32e2c0d2-55ad-424f-9241-c3fd3a322a1e,2025-01-27,22:05:00,Falcon 9 Block 5,Starlink Group 12-7,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,95.0,
2d39bb52-5258-4866-9f2b-d84e1b02afd3,2025-01-29,00:53:00,GSLV Mk II,IRNSS-1K (NVS-02),"Satish Dhawan Space Centre, India",India,Launch Successful,,
a22c6e2c-17ec-4fe4-ad82-d7cec52011bb,2025-01-30,01:34:00,Falcon 9 Block 5,SpainSat NG I,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,95.0,
6f18e0ac-ef45-4658-89b1-1cbf48c821ae,2025-02-01,23:02:10,Falcon 9 Block 5,Starlink Group 11-4,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
0680d9c6-8b90-405e-bbe0-167cd48e36bb,2025-02-02,08:30:00,H3-22,Michibiki 6 (QZS-6),"Tanegashima Space Center, Japan",Japan,Launch Successful,,
028d5699-11ea-4309-9266-5f9c2372219f,2025-02-04,10:15:00,Falcon 9 Block 5,Starlink Group 12-3,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,95.0,
6632587d-9290-4cee-8a9c-ef91c61a7064,2025-02-04,23:13:00,Falcon 9 Block 5,WorldView Legion 5 & 6,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,99.0,
682328d3-ce10-448c-be16-c5f8f851a312,2025-02-05,03:59:24,Soyuz 2.1v/Volga,Kosmos 2581/2582/2583,"Plesetsk Cosmodrome, Russian Federation",Russia,Launch Successful,,
fb0df8b6-7b94-4e49-93e0-5389755fc970,2025-02-08,19:18:30,Falcon 9 Block 5,Starlink Group 12-9,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,99.0,
f842964b-288f-4100-95d4-3b3510712f81,2025-02-08,20:43:00,Electron,IoT 4 You and Me (Kinéis 16-20),"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",New Zealand,Launch Successful,,
